epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3952,1.92725,2.6957,1.45896,0.51317,0.63688,0.6128,0.35692,1.67476,2.11326,1.74838,0.00027608,0.00027608,0.00027608
2,82.7292,1.78896,1.74633,1.35835,0.63229,0.69641,0.66472,0.43316,1.52757,1.5954,1.6067,0.000535473,0.000535473,0.000535473
3,117.749,1.77432,1.62739,1.35486,0.68989,0.68782,0.71554,0.49476,1.4703,1.28106,1.57944,0.00077654,0.00077654,0.00077654
4,154.067,1.71563,1.51939,1.34084,0.71723,0.70014,0.72671,0.49966,1.44821,1.20594,1.53547,0.000750533,0.000750533,0.000750533
5,195.479,1.74447,1.46319,1.33316,0.70102,0.70681,0.71665,0.4971,1.46172,1.2346,1.54935,0.000723044,0.000723044,0.000723044
6,230.079,1.68766,1.39471,1.31434,0.7156,0.72632,0.73076,0.51771,1.38145,1.12428,1.47604,0.000695555,0.000695555,0.000695555
7,264.954,1.6631,1.35225,1.29566,0.71359,0.72546,0.72965,0.52595,1.36379,1.08676,1.4329,0.000668066,0.000668066,0.000668066
8,300.031,1.6541,1.32999,1.30331,0.65934,0.72928,0.73771,0.53656,1.33591,1.10236,1.4163,0.000640577,0.000640577,0.000640577
9,337.566,1.63278,1.31663,1.30219,0.71904,0.75382,0.74089,0.53146,1.34324,1.04979,1.42982,0.000613088,0.000613088,0.000613088
10,373.615,1.60445,1.27105,1.28302,0.74944,0.75807,0.74695,0.54329,1.32488,1.02794,1.40319,0.000585599,0.000585599,0.000585599
11,409.994,1.62582,1.27088,1.27266,0.74606,0.7547,0.75038,0.54044,1.33727,1.03644,1.42057,0.00055811,0.00055811,0.00055811
12,446.617,1.63132,1.27852,1.29376,0.74974,0.76117,0.76005,0.55099,1.32761,1.00209,1.38151,0.000530621,0.000530621,0.000530621
13,483.179,1.58277,1.2313,1.26993,0.72754,0.76194,0.74595,0.54787,1.3026,0.98869,1.39637,0.000503132,0.000503132,0.000503132
14,522.435,1.56964,1.1948,1.25722,0.74498,0.75642,0.75007,0.5463,1.31021,0.99392,1.3906,0.000475643,0.000475643,0.000475643
15,561.973,1.57552,1.21535,1.26085,0.73061,0.7661,0.74895,0.55685,1.27456,0.97132,1.36828,0.000448154,0.000448154,0.000448154
16,600.932,1.56111,1.19984,1.25892,0.74441,0.7678,0.74846,0.55145,1.30761,0.97676,1.37924,0.000420665,0.000420665,0.000420665
17,637.743,1.58419,1.19607,1.25626,0.72431,0.77281,0.74948,0.55598,1.28331,0.97161,1.36623,0.000393176,0.000393176,0.000393176
18,674.46,1.57201,1.18214,1.24238,0.74733,0.76792,0.75304,0.55956,1.28553,0.95955,1.36828,0.000365687,0.000365687,0.000365687
19,711.389,1.55524,1.17043,1.2507,0.75414,0.77025,0.7587,0.55714,1.28319,0.95481,1.36196,0.000338198,0.000338198,0.000338198
20,748.673,1.54749,1.16256,1.2506,0.75526,0.76824,0.75973,0.56406,1.26245,0.95355,1.34665,0.000310709,0.000310709,0.000310709
21,836.105,1.59146,1.24563,1.27267,0.73916,0.76872,0.75454,0.56922,1.25221,0.95362,1.33698,0.00028322,0.00028322,0.00028322
22,871.465,1.56518,1.2228,1.26984,0.73678,0.76749,0.75307,0.56085,1.25399,0.95239,1.33578,0.000255731,0.000255731,0.000255731
23,908.47,1.55637,1.21122,1.26042,0.76455,0.77362,0.76348,0.57194,1.24399,0.93018,1.33459,0.000228242,0.000228242,0.000228242
24,943.92,1.55048,1.19968,1.24689,0.75857,0.77172,0.76285,0.57199,1.24505,0.92524,1.32693,0.000200753,0.000200753,0.000200753
25,979.293,1.5446,1.19849,1.25631,0.76481,0.77538,0.76391,0.57218,1.2376,0.92268,1.31925,0.000173264,0.000173264,0.000173264
26,1014.78,1.5337,1.18909,1.24988,0.75206,0.77637,0.76081,0.57458,1.23743,0.91877,1.32477,0.000145775,0.000145775,0.000145775
27,1053.04,1.51428,1.16587,1.23713,0.76721,0.77445,0.76609,0.57716,1.22695,0.91395,1.31162,0.000118286,0.000118286,0.000118286
28,1088.67,1.51969,1.16722,1.2419,0.7797,0.77451,0.7687,0.57688,1.2251,0.90558,1.30844,9.0797e-05,9.0797e-05,9.0797e-05
29,1123.99,1.51038,1.15465,1.23602,0.77377,0.78146,0.76957,0.57681,1.22748,0.90257,1.30906,6.3308e-05,6.3308e-05,6.3308e-05
30,1159.56,1.50922,1.152,1.23392,0.79122,0.77628,0.76964,0.58004,1.22182,0.90375,1.30196,3.5819e-05,3.5819e-05,3.5819e-05
